"Time [ms]","InducedVoltage(Winding_A)-InducedVoltage(Winding_B) [V] - Im='0A' speed_rpm='1000rpm'","InducedVoltage(Winding_A)-InducedVoltage(Winding_B) [V] - Im='0A' speed_rpm='5000rpm'","InducedVoltage(Winding_A)-InducedVoltage(Winding_B) [V] - Im='110A' speed_rpm='2865rpm'"
0,4.37718253021302,21.8859126510617,21.4954247085391
0.048,,26.1848587854083,
0.0837696335078534,,,23.0831723227779
0.096,,30.4838049197549,
0.144,,33.6788918423323,
0.167539267015707,,,24.6709199370166
0.192,,36.8464427207144,
0.24,5.23697175708157,40.1149152362306,
0.25130890052356,,,25.4875189549396
0.288,,42.4438700516622,
0.335078534031414,,,26.4890607802214
0.336,,43.3178400161936,
0.384,,43.3081524195425,
0.418848167539267,,,27.5253784588928
0.432,,43.2926957041043,
0.48,6.09676098395012,43.3156246684513,
0.50261780104712,,,27.5641493242479
0.528,,42.3822162411413,
0.576,,40.0619732352723,
0.586387434554974,,,26.5560627452945
0.624,,36.7402523277971,
0.670157068062827,,,25.3054337589772
0.672,,33.5798892246011,
0.72,6.73577836846832,30.3603329806284,
0.753926701570681,,,24.1654688799981
0.768,,26.1040326694862,
0.816,,20.6295682769641,
0.837696335078534,,,22.8425907047202
0.864,,15.5510261766091,
0.912,,11.2412842810281,
0.921465968586388,,,20.9004490270506
0.96,7.36928854414271,6.2753532175571,
1.00523560209424,,,18.6668334541863
1.008,,-0.0922411907958995,
1.056,,-6.4173264965937,
1.08900523560209,,,16.3390789281948
1.104,,-11.4056216065791,
1.152,,-15.6889739313143,
1.17277486910995,,,13.7277061722187
1.2,8.02298304724579,-20.7573810321756,
1.248,,-26.2136850118457,
1.2565445026178,,,10.8835186451666
1.296,,-30.4825909390215,
1.34031413612565,,,7.47974374821837
1.344,,-33.6793884572149,
1.392,,-36.8469223090244,
1.42408376963351,,,3.34310028023099
1.44,8.48877401033198,-40.1161034634293,
1.488,,-42.4454839833608,
1.50785340314136,,,-0.419772028912359
1.536,,-43.3193850805469,
1.584,,-43.3088347105037,
1.59162303664921,,,-3.37189510829123
1.632,,-43.2917668841344,
1.67539267015707,,,-6.35711132030937
1.68,8.66356800323838,-43.3138558164472,
1.728,,-42.3806022567157,
1.75916230366492,,,-9.75438372194373
1.776,,-40.0605007215002,
1.824,,-36.7394332986551,
1.84293193717278,,,-13.0284733501493
1.872,,-33.5797646430059,
1.92,8.66163048390927,-30.3618159569555,
1.92670157068063,,,-15.4591308989745
1.968,,-26.1054730772349,
2.01047120418848,,,-17.4238364172087
2.016,,-20.6317128455183,
2.064,,-15.5539773207051,
2.09424083769634,,,-20.1477648881011
2.112,,-11.2442006328904,
2.16,8.65853914082084,-6.2775515119028,
2.17801047120419,,,-23.0813352932064
2.208,,0.0907228851271,
2.256,,6.4158783666526,
2.26178010471204,,,-24.670037235172
2.304,,11.4060948581907,
2.3455497382199,,,-25.4876149544316
2.352,,15.6906593816215,
2.4,8.66312493369088,20.7591519863389,
2.42931937172775,,,-26.4892161209899
2.5130890052356,,,-27.5263431064
2.59685863874346,,,-27.564935733653
2.64,8.47644324822694,,
2.68062827225131,,,-26.5560992527966
2.76439790575916,,,-25.3059626270935
2.84816753926702,,,-24.1656336239606
2.88,8.012394647055,,
2.93193717277487,,,-22.8423990471561
3.01570680628272,,,-20.9005016186861
3.09947643979058,,,-18.6669678024042
3.12,7.34805046555777,,
3.18324607329843,,,-16.3387092340568
3.26701570680628,,,-13.7263095353687
3.35078534031414,,,-10.8831914261539
3.36,6.71597784492108,,
3.43455497382199,,,-7.47949368220623
3.51832460732984,,,-3.3437366888748
3.6,6.0720665961266,,
3.6020942408377,,,0.418582264134312
3.68586387434555,,,3.37046282562047
3.7696335078534,,,6.35586243530213
3.84,5.22080653389911,,
3.85340314136126,,,9.75358773112035
3.93717277486911,,,13.0267553320552
4.02094240837696,,,15.4586398169812
4.08,4.12591365539047,,
4.10471204188482,,,17.423858284272
4.18848167539267,,,20.1491820341525
4.32,3.11020523532115,,
4.56,2.24825685620434,,
4.8,1.25507064351346,,
5.04,-0.0184482381592801,,
5.28,-1.28346529931868,,
5.52,-2.28112432131458,,
5.76,-3.13779478626262,,
6,-4.15147620643652,,
6.24,-5.24273700236844,,
6.48,-6.09651818780472,,
6.72,-6.73587769144311,,
6.95999999999999,-7.36938446180452,,
7.19999999999999,-8.02322069268669,,
7.43999999999999,-8.48909679667188,,
7.67999999999999,-8.6638770161095,,
7.91999999999999,-8.66176694210078,,
8.16,-8.65835337682516,,
8.4,-8.66277116329006,,
8.64,-8.47612045134387,,
8.88,-8.01210014429996,,
9.12,-7.34788665973062,,
9.36,-6.71595292860131,,
9.6,-6.07236319139023,,
9.84,-5.22109461544781,,
10.08,-4.12634256910503,,
10.32,-3.11079546413911,,
10.56,-2.2488401265803,,
10.8,-1.25551030238025,,
11.04,0.0181445770255402,,
11.28,1.28317567333202,,
11.52,2.2812189716385,,
11.76,3.13813187632291,,
12,4.15183039726847,,
